year,region,lumped_stock_group,q2
2015,DI,Birkenhead_Big_Silver,162.5
2015,DI,Early_Stuart,156
2015,DI,Quesnel,158
2015,DI,Nadina_Gates_Bowron_Nahatlatch,147
2015,DI,Chilko,150
2015,DI,Weaver_Cultus,136
2015,DI,Late_Shuswap_Portage,164.5
2015,DI,Early_Thompson,164
2015,DI,Late_Stuart_Stellako,139.5
2015,DI,Pitt,165
2015,DI,Raft_North_Thompson,135
2015,JS,Birkenhead_Big_Silver,166
2015,JS,Early_Stuart,166
2015,JS,Quesnel,152
2015,JS,Nadina_Gates_Bowron_Nahatlatch,159
2015,JS,Chilko,154.5
2015,JS,Chilliwack,170
2015,JS,Weaver_Cultus,146
2015,JS,Late_Shuswap_Portage,166
2015,JS,Early_Thompson,170
2015,JS,Late_Stuart_Stellako,155
2015,JS,Pitt,162
2015,JS,Raft_North_Thompson,145
2016,DI,Birkenhead_Big_Silver,136
2016,DI,Quesnel,140
2016,DI,Nadina_Gates_Bowron_Nahatlatch,134.5
2016,DI,Chilko,146
2016,DI,Late_Shuswap_Portage,155
2016,DI,Early_Thompson,153
2016,DI,Late_Stuart_Stellako,135
2016,JS,Birkenhead_Big_Silver,152.5
2016,JS,Quesnel,155
2016,JS,Nadina_Gates_Bowron_Nahatlatch,143
2016,JS,Chilko,154
2016,JS,Chilliwack,149
2016,JS,Late_Shuswap_Portage,161
2016,JS,Early_Thompson,154.5
2016,JS,Late_Stuart_Stellako,143
