ID,ufn,date,year,month,day,location,region,site,forklength,fishweight,corrected.bolus.ww,phylum,class,order,infraorder,family,genus,species,plot.taxon.g,plot.taxon,life.stage,DI,count,size,length.avg,corrected.prey.weight,tperiod,time,ID3,cluster
D10_U1005,U1005,2015-06-05,2015,6,5,DI,East,D10,105,13.3,24.486,Chordata,Appendicularia,Copelata,NA,Oikopleuridae,Oikopleura,NA,Larvacean,Oikopleura,NA,4,1,5-10,5.47,0.077,DI_Late,Late,DI_2015,A
D10_U1006,U1006,2015-06-05,2015,6,5,DI,East,D10,101,12.1,15.862,Arthropoda,Maxillopoda,Calanoida,NA,NA,NA,NA,Calanoid copepod,Calanoid,NA,4,8,2-5,NA,1.848,DI_Late,Late,DI_2015,B
D10_U1006,U1006,2015-06-05,2015,6,5,DI,East,D10,101,12.1,15.862,Arthropoda,Maxillopoda,Calanoida,NA,Calanidae,Calanus,pacificus,Calanoid copepod,Calanus,NA,1,2,2-5,2.88,1.078,DI_Late,Late,DI_2015,B
D10_U1006,U1006,2015-06-05,2015,6,5,DI,East,D10,101,12.1,15.862,Arthropoda,Maxillopoda,Calanoida,NA,Calanidae,Calanus,pacificus,Calanoid copepod,Calanus,NA,3,4,2-5,2.88,2.002,DI_Late,Late,DI_2015,B
D10_U1006,U1006,2015-06-05,2015,6,5,DI,East,D10,101,12.1,15.862,Arthropoda,Maxillopoda,Calanoida,NA,Calanidae,Calanus,pacificus,Calanoid copepod,Calanus,NA,4,1,2-5,NA,0.154,DI_Late,Late,DI_2015,B
D10_U1006,U1006,2015-06-05,2015,6,5,DI,East,D10,101,12.1,15.862,NA,NA,NA,NA,NA,NA,NA,Digested,Digested,NA,5,NA,NA,NA,2.002,DI_Late,Late,DI_2015,B
D10_U1006,U1006,2015-06-05,2015,6,5,DI,East,D10,101,12.1,15.862,Arthropoda,Maxillopoda,Calanoida,NA,Eucalanidae,Eucalanus,NA,Calanoid copepod,Eucalanus,NA,4,1,5-10,5.5,1.54,DI_Late,Late,DI_2015,B
D10_U1006,U1006,2015-06-05,2015,6,5,DI,East,D10,101,12.1,15.862,Arthropoda,Malacostraca,Euphausiacea,NA,Euphausiidae,NA,NA,Euphausiid,Euphausiidae,NA,4,2,2-5,NA,0.077,DI_Late,Late,DI_2015,B
D10_U1006,U1006,2015-06-05,2015,6,5,DI,East,D10,101,12.1,15.862,Arthropoda,Malacostraca,Euphausiacea,NA,Euphausiidae,NA,NA,Euphausiid,Euphausiidae,calytopsis,3,1,2-5,2.2,0.077,DI_Late,Late,DI_2015,B
D10_U1006,U1006,2015-06-05,2015,6,5,DI,East,D10,101,12.1,15.862,Arthropoda,Maxillopoda,Calanoida,NA,Metridinidae,Metridia,NA,Calanoid copepod,Metridia,NA,2,2,2-5,3.1,0.77,DI_Late,Late,DI_2015,B
