year,stock_1,stock_count,total,prop
2015,weaver,13,991,1.3118062563067607
2015,chilko,335,991,33.8042381432896
2015,blue_lead_ck,5,991,0.5045408678102926
2015,quesnel_horsef,43,991,4.339051463168516
2015,thompson_n,12,991,1.2108980827447022
2015,middle,21,991,2.119071644803229
2015,quesnel_decept,7,991,0.7063572149344097
2015,pinchi_cr,20,991,2.0181634712411705
2015,gates_cr,26,991,2.6236125126135215
2015,birkenhead,33,991,3.3299697275479314
2015,pitt,43,991,4.339051463168516
2015,stellako,15,991,1.513622603430878
2015,mitchell,63,991,6.357214934409687
2015,horsefly,3,991,0.30272452068617556
2015,gluskie,3,991,0.30272452068617556
2015,quesnel_mitche,34,991,3.4308779011099895
2015,l_adams,99,991,9.989909182643794
2015,scotch,43,991,4.339051463168516
2015,tachie,11,991,1.109989909182644
2015,paula,10,991,1.0090817356205852
2015,bowron,4,991,0.4036326942482341
2015,seymour,33,991,3.3299697275479314
2015,baker_lake,1,991,0.10090817356205853
2015,portage_cr,6,991,0.6054490413723511
2015,sakinaw,2,991,0.20181634712411706
2015,chilko-north,4,991,0.4036326942482341
2015,nahatlatch,2,991,0.20181634712411706
2015,kynock,3,991,0.30272452068617556
2016,chilko,143,959,14.911366006256518
2016,l_shuswap,230,959,23.983315954118876
2016,horsefly,45,959,4.692387904066736
2016,nadina,13,959,1.3555787278415017
2016,stellako,15,959,1.5641293013555788
2016,mitchell,24,959,2.502606882168926
2016,tachie,8,959,0.8342022940563086
2016,birkenhead,4,959,0.4171011470281543
2016,mckinley,9,959,0.9384775808133473
2016,chilko-north,20,959,2.0855057351407713
2016,blue_lead_ck,14,959,1.4598540145985401
2016,l_adams,128,959,13.347236704900938
2016,scotch,63,959,6.569343065693431
2016,little,23,959,2.398331595411887
2016,roaring,2,959,0.20855057351407716
2016,seymour,29,959,3.023983315954119
2016,quesnel_mitche,8,959,0.8342022940563086
2016,fennell,4,959,0.4171011470281543
2016,nahatlatch,1,959,0.10427528675703858
2016,quesnel_horsef,46,959,4.796663190823774
2016,middleshuswap,94,959,9.801876955161628
2016,eagle_l,7,959,0.7299270072992701
2016,sinta,2,959,0.20855057351407716
2016,kuzkwa_cr,1,959,0.10427528675703858
2015,kuzkwa_cr,3,991,0.30272452068617556
2015,l_horsefly,1,991,0.10090817356205853
2015,porter_cr,3,991,0.30272452068617556
2015,u_horsefly,12,991,1.2108980827447022
2015,nimpkish,20,991,2.0181634712411705
2015,narrows,4,991,0.4036326942482341
2015,l_shuswap,6,991,0.6054490413723511
2015,phillips,4,991,0.4036326942482341
2015,fennell,1,991,0.10090817356205853
2015,chilko_south,14,991,1.4127144298688195
2015,little,2,991,0.20181634712411706
2015,wasko_cr,5,991,0.5045408678102926
2015,blackwater,9,991,0.9081735620585267
2015,chilliw_lake,1,991,0.10090817356205853
2015,woss_lake,12,991,1.2108980827447022
2016,nimpkish,17,959,1.7726798748696557
2016,gates_cr,1,959,0.10427528675703858
2016,dollyvarden_cr,1,959,0.10427528675703858
2016,hudson_bay,1,959,0.10427528675703858
2016,washwash,1,959,0.10427528675703858
2016,woss_lake,4,959,0.4171011470281543
2016,sakinaw,1,959,0.10427528675703858
