ufn,plot.taxon.g,cluster,biomass,tot_stom_biom,ind_prop,meanprop,sdprop,n,mean_tot_weight
U1155,Amphipod,A1,0,37.5914,0,0.007599326663859872,0.019739373969296738,112,93.7002
U1155,Barnacle,A1,0,37.5914,0,6.583542855726103e-4,0.0020917517333810965,112,93.7002
U1155,Calanoid copepod,A1,37.422,37.5914,0.9954936501433838,0.8897747969143781,0.15251979553347186,112,93.7002
U1155,Cladoceran,A1,0,37.5914,0,6.295866275261536e-5,2.436197173947055e-4,112,93.7002
U1155,Decapod,A1,0,37.5914,0,0.01703409634232365,0.07433383176517472,112,93.7002
U1155,Euphausiid,A1,0.0154,37.5914,4.0966816878328555e-4,0.024457145730137617,0.07390925764409301,112,93.7002
U1155,Larvacean,A1,0.154,37.5914,0.004096681687832855,0.01163520710865455,0.04357417935967398,112,93.7002
U1155,Other,A1,0,37.5914,0,0.048778114292320984,0.10013465931939838,112,93.7002
U1156,Amphipod,A1,0,151.07399999999998,0,0.007599326663859872,0.019739373969296738,112,93.7002
U1156,Barnacle,A1,0,151.07399999999998,0,6.583542855726103e-4,0.0020917517333810965,112,93.7002
U1156,Calanoid copepod,A1,144.452,151.07399999999998,0.9561671763506627,0.8897747969143781,0.15251979553347186,112,93.7002
U1156,Cladoceran,A1,0,151.07399999999998,0,6.295866275261536e-5,2.436197173947055e-4,112,93.7002
U1156,Decapod,A1,0,151.07399999999998,0,0.01703409634232365,0.07433383176517472,112,93.7002
U1156,Euphausiid,A1,5.544,151.07399999999998,0.03669724770642202,0.024457145730137617,0.07390925764409301,112,93.7002
U1156,Larvacean,A1,0,151.07399999999998,0,0.01163520710865455,0.04357417935967398,112,93.7002
U1156,Other,A1,1.078,151.07399999999998,0.007135575942915394,0.048778114292320984,0.10013465931939838,112,93.7002
U1157,Amphipod,A1,0,309.54,0,0.007599326663859872,0.019739373969296738,112,93.7002
U1157,Barnacle,A1,0,309.54,0,6.583542855726103e-4,0.0020917517333810965,112,93.7002
U1157,Calanoid copepod,A1,307.461,309.54,0.9932835820895523,0.8897747969143781,0.15251979553347186,112,93.7002
U1157,Cladoceran,A1,0,309.54,0,6.295866275261536e-5,2.436197173947055e-4,112,93.7002
U1157,Decapod,A1,0,309.54,0,0.01703409634232365,0.07433383176517472,112,93.7002
U1157,Euphausiid,A1,2.0020000000000002,309.54,0.006467661691542289,0.024457145730137617,0.07390925764409301,112,93.7002
U1157,Larvacean,A1,0.077,309.54,2.487562189054726e-4,0.01163520710865455,0.04357417935967398,112,93.7002
U1157,Other,A1,0,309.54,0,0.048778114292320984,0.10013465931939838,112,93.7002
U1160,Amphipod,A1,1.5399999999999998,149.9498,0.01027010372804765,0.007599326663859872,0.019739373969296738,112,93.7002
U1160,Barnacle,A1,0.154,149.9498,0.0010270103728047652,6.583542855726103e-4,0.0020917517333810965,112,93.7002
U1160,Calanoid copepod,A1,136.52100000000002,149.9498,0.9104446954914245,0.8897747969143781,0.15251979553347186,112,93.7002
U1160,Cladoceran,A1,0,149.9498,0,6.295866275261536e-5,2.436197173947055e-4,112,93.7002
U1160,Decapod,A1,0.077,149.9498,5.135051864023826e-4,0.01703409634232365,0.07433383176517472,112,93.7002
U1160,Euphausiid,A1,8.701,149.9498,0.05802608606346924,0.024457145730137617,0.07390925764409301,112,93.7002
U1160,Larvacean,A1,0,149.9498,0,0.01163520710865455,0.04357417935967398,112,93.7002
U1160,Other,A1,2.9568,149.9498,0.019718599157851492,0.048778114292320984,0.10013465931939838,112,93.7002
U1164,Amphipod,A1,0,53.2994,0,0.007599326663859872,0.019739373969296738,112,93.7002
U1164,Barnacle,A1,0,53.2994,0,6.583542855726103e-4,0.0020917517333810965,112,93.7002
U1164,Calanoid copepod,A1,53.2224,53.2994,0.9985553308292401,0.8897747969143781,0.15251979553347186,112,93.7002
U1164,Cladoceran,A1,0,53.2994,0,6.295866275261536e-5,2.436197173947055e-4,112,93.7002
U1164,Decapod,A1,0,53.2994,0,0.01703409634232365,0.07433383176517472,112,93.7002
U1164,Euphausiid,A1,0.077,53.2994,0.001444669170759896,0.024457145730137617,0.07390925764409301,112,93.7002
U1164,Larvacean,A1,0,53.2994,0,0.01163520710865455,0.04357417935967398,112,93.7002
U1164,Other,A1,0,53.2994,0,0.048778114292320984,0.10013465931939838,112,93.7002
U1168,Amphipod,A1,0,112.2044,0,0.007599326663859872,0.019739373969296738,112,93.7002
U1168,Barnacle,A1,0,112.2044,0,6.583542855726103e-4,0.0020917517333810965,112,93.7002
U1168,Calanoid copepod,A1,110.88000000000001,112.2044,0.9881965413121054,0.8897747969143781,0.15251979553347186,112,93.7002
U1168,Cladoceran,A1,0,112.2044,0,6.295866275261536e-5,2.436197173947055e-4,112,93.7002
U1168,Decapod,A1,0.077,112.2044,6.862475981334065e-4,0.01703409634232365,0.07433383176517472,112,93.7002
U1168,Euphausiid,A1,0.3234,112.2044,0.0028822399121603073,0.024457145730137617,0.07390925764409301,112,93.7002
U1168,Larvacean,A1,0.077,112.2044,6.862475981334065e-4,0.01163520710865455,0.04357417935967398,112,93.7002
U1168,Other,A1,0.847,112.2044,0.007548723579467471,0.048778114292320984,0.10013465931939838,112,93.7002
U1169,Amphipod,A1,0,143.8514,0,0.007599326663859872,0.019739373969296738,112,93.7002
U1169,Barnacle,A1,0,143.8514,0,6.583542855726103e-4,0.0020917517333810965,112,93.7002
