site,lat,long
QU29,50.2536,-125.1885
QU39,50.0307,-125.0992
JS2,50.548,-126.696
D25,50.022465,-124.916635
D09,50.307276,-125.329834
J03,50.546936,-126.671869
D08,50.319983,-125.040963
D07,50.190769,-125.143142
D06,50.10015,-125.27265
D10,50.443069,-125.272498
D11,50.34815,-125.45565
J02,50.599433,-126.703364
J04,50.526352,-126.38762
J06,50.475081,-126.033922
J07,50.457325,-126.165533
J08,50.480604,-126.409614
J09,50.544011,-126.814611
