site,lat,long
D06,50.09809,-125.27142
D07,50.19112,-125.14202
D08,50.31962,-125.03950
D09,50.30787,-125.32930
D10,50.44365,-125.27900
D11,50.34851,-125.44831
J02,50.60101,-126.70394
J04,50.52363,-126.39046
J06,50.47696,-126.02730
J07,50.45747,-126.16879
J08,50.48079,-126.48078
J09,50.53944,-126.78254
